epoch,train_loss,dev_loss,dev_exact_match,dev_token_accuracy
1,1.8985954407824586,1.7130916283485738,0.0003333333333333333,0.6767211110101942
2,0.9923190921347662,0.9844214592842345,0.009,0.7928375227805967
3,0.7511368672579329,0.751975435525813,0.053,0.844734062817754
4,0.592217353519225,0.6242292732634442,0.136,0.8786881347533966
5,0.4846384050040845,0.5113796502985852,0.20766666666666667,0.9000289769807743
6,0.41395950850272023,0.4450878063414959,0.251,0.9113060754265204
7,0.3586780755725128,0.41302113044769206,0.30566666666666664,0.917789629256681
8,0.31689578551330316,0.36389724624917863,0.3556666666666667,0.9279159823309774
9,0.2813738523926956,0.337624432241663,0.4103333333333333,0.9345928174394169
10,0.24783142027475977,0.29613764916962765,0.4736666666666667,0.9443786079220999
11,0.217269889270233,0.271271934376118,0.5146666666666667,0.949780966007833
12,0.19232488313060722,0.24649462547708065,0.565,0.9549667311727474
13,0.16995002841515258,0.228157713692239,0.6166666666666667,0.962309499798882
14,0.15010520203026714,0.19538587565593263,0.651,0.967152689011663
15,0.13202156045578964,0.1795336108733999,0.6866666666666666,0.9718864283262793
16,0.11608202444105749,0.1965104278494069,0.7143333333333334,0.9722577981349906
17,0.10471736129052592,0.17300782099049142,0.735,0.9756820215519568
18,0.09661792086943095,0.16257760134783197,0.757,0.9779259224087926
19,0.08671930180677515,0.16893650718191836,0.7586666666666667,0.9770562831349016
20,0.0780417251863227,0.14040754576946826,0.772,0.9798101427271022
21,0.0721289067177583,0.14247722248051395,0.7846666666666666,0.9810516938927616
22,0.06584606750664727,0.13371179978105616,0.7913333333333333,0.981587300196084
23,0.059788815685800765,0.13449003018359554,0.8046666666666666,0.9821893201023703
24,0.054629931473080685,0.1402840015300094,0.8156666666666667,0.9831876108938126
25,0.05136096578288749,0.12748650942948905,0.8163333333333334,0.9836654747157162
26,0.046398805817034074,0.13392480819466265,0.8213333333333334,0.9842066852321248
27,0.04388244024151011,0.11955415870637652,0.831,0.9851533031589982
28,0.04114721478733993,0.1234086148658807,0.831,0.9852396833353106
29,0.0377713269381383,0.10797158605914484,0.844,0.9865545615199812
30,0.03521150929039184,0.11754825992628615,0.8366666666666667,0.9858402552044275
