epoch,train_loss,dev_loss,dev_exact_match,dev_token_accuracy
1,1.9115668617336956,1.689838764515329,0.0,0.6656782383111556
2,1.0180458597789537,1.0140807032585144,0.001,0.7855161100012807
3,0.7668692516175327,0.7596985279245579,0.0016666666666666668,0.8417870616967742
4,0.6031332614800788,0.6223408785906244,0.0,0.8776332618865917
5,0.5066057770062756,0.524413397020482,0.0,0.8971678530745787
6,0.4395910221614585,0.4701318962776915,0.0,0.9095858460313581
7,0.3773103037219963,0.40843709288759433,0.0,0.9206495455018114
8,0.330507462486526,0.37944034867464227,0.0,0.9284611139392686
9,0.28806147958269185,0.3405373767018318,0.0,0.9381604509892745
10,0.25318929022116377,0.3012750484841935,0.371,0.9473518521079596
11,0.218057901703364,0.25429572109529314,0.3273333333333333,0.955178300766566
12,0.18768824560950134,0.24709995463490486,0.5243333333333333,0.960429431268749
13,0.16634462361304175,0.22800452436538451,0.631,0.9645560512949932
14,0.1444991841862928,0.21613205981222874,0.0,0.9675472678282344
15,0.12768392903323206,0.1831124524011257,0.48433333333333334,0.9724474399231403
16,0.11377835205651277,0.1787531202302334,0.001,0.9749861564904184
17,0.10194633402275724,0.16366944162848782,0.0013333333333333333,0.9774145545926318
18,0.08990284972484933,0.13863758039363522,0.06733333333333333,0.980739580215875
19,0.08214825441111002,0.1549316432644078,0.049666666666666665,0.9796111194128818
20,0.07547688584602037,0.1373278245012811,0.21733333333333332,0.9800605511185128
