epoch,train_loss,dev_loss,dev_exact_match,dev_token_accuracy
1,1.728711795570045,1.326607459403099,0.0,0.7388213513108091
2,0.821116871154861,0.716070461146375,0.0,0.8579235364308265
3,0.545198711891048,0.5681975502917107,0.0,0.8902960220548439
4,0.42994419391581556,0.4552136285507933,0.0,0.9100328545171832
5,0.34224151323567953,0.3691706055022301,0.0,0.9319512553861197
6,0.26821876109041126,0.2862174557720093,0.0,0.9488726220419144
7,0.20362732767664043,0.23074540147121916,0.0036666666666666666,0.9611303660068381
8,0.15491469954911447,0.1844199982253795,0.012333333333333333,0.9710483796494312
9,0.1179245845766257,0.13838811155329359,0.0,0.9787596730779371
10,0.09394495568873472,0.1361220249153198,0.0,0.982273526739803
11,0.07599799788205434,0.11548738984113678,0.0,0.9845694842905921
12,0.06092362120525529,0.11850622601490071,0.0,0.9855213733080188
13,0.05267657507581032,0.08617329726273075,0.0,0.9879340410764612
14,0.04517665466861121,0.08595725004264015,0.0,0.9882826478364782
15,0.03688642542766074,0.09256898223402653,0.0,0.9877684193355967
16,0.03207022052887359,0.09456381726851489,0.527,0.988538344329252
17,0.02780597184056922,0.08013020759012471,0.0,0.9905047719453762
18,0.02473656821453216,0.08543464856499687,0.0,0.9896206846501602
19,0.020940479420631236,0.07793271125472606,0.0,0.9905253523838679
20,0.01858075248549341,0.07773873657780758,0.0,0.9908127841289095

