epoch,train_loss,dev_loss,dev_exact_match,dev_token_accuracy
1,1.4371964926751244,0.6772549583556804,0.079,0.7614773834947464
2,0.6697976419467799,0.36306189222538726,0.3273333333333333,0.8701586989928533
3,0.42063602524877386,0.19104069796331385,0.568,0.9133486238875438
4,0.27963642337859074,0.10960484839024696,0.744,0.9359433165753974
5,0.2047126500318382,0.09988923031995271,0.7006666666666667,0.933792089515327
6,0.1665282260897933,0.15214719337985871,0.624,0.9298222511945369
7,0.14468128644176667,0.06786818616092205,0.831,0.9542361538493868
8,0.1274140482756081,0.09110712569127692,0.6536666666666666,0.9491603312640433
9,0.11751777798628175,0.07541291810017317,0.6993333333333334,0.9516949801869897
10,0.106456874239425,0.10618414353341499,0.651,0.9480078207162614
11,0.09802870171897064,0.09586055041786204,0.6786666666666666,0.9567608510341744
12,0.08968973690705584,0.09062327694227086,0.676,0.9605570359079311
13,0.08545834425072008,0.0832341223400324,0.6756666666666666,0.9614555047479963
14,0.0804014236647759,0.08402622883465696,0.6863333333333334,0.9647333220880381
15,0.07730412175570497,0.11300295829138857,0.6866666666666666,0.9649226393489417
16,0.07365941125406138,0.07740428839671484,0.6866666666666666,0.9663578440588945
17,0.06937835609404654,0.09528973801655972,0.684,0.9631241203772498
18,0.06419927021735256,0.14342224356183347,0.688,0.9667174317636331
19,0.06149496030901244,0.1030120009041213,0.692,0.9681119940295112
20,0.05970914236436419,0.10105856559536558,0.686,0.9650105425361146
1,1.127811534831066,0.4199009436242124,0.276,0.8513997093241311
2,0.3812938561700038,0.19876414545355958,0.5216666666666666,0.9138269015937441
3,0.1966398099005617,0.08444692975187555,0.7663333333333333,0.9505448234166529
4,0.12826000079512595,0.057108363235726003,0.83,0.9660759928410969
5,0.09890758060165589,0.04926464443114844,0.8513333333333334,0.9715186408216042
6,0.08193726190890105,0.04432521117454831,0.8553333333333333,0.9724968473891024
7,0.07045192690257797,0.03946003101845371,0.873,0.9771279746429198
8,0.06276132622425327,0.034704842837527394,0.9006666666666666,0.9773775067251157
9,0.05713585511602412,0.027840905166429248,0.929,0.9849254908479835
10,0.0496315810767724,0.02155580711947318,0.9383333333333334,0.9866032911816771
11,0.04413379504937456,0.02347815540827256,0.9426666666666667,0.9876694412290087
12,0.04017393740930206,0.015776020064182144,0.957,0.9930611940621273
13,0.035891677498731095,0.01667671279481394,0.9533333333333334,0.992078128573256
14,0.034142817331120276,0.013595873160235722,0.9596666666666667,0.992716134915578
15,0.033229737625833575,0.015338560146467879,0.9463333333333334,0.9914971008180505
16,0.030097735549064218,0.017319739095871634,0.9616666666666667,0.9916633478383992
17,0.03185805052962919,0.016059766533757323,0.9623333333333334,0.9909366364777819
18,0.02817256843257967,0.013979403978118306,0.9673333333333334,0.9938714681205102
19,0.02655165201308983,0.014540099970775934,0.9676666666666667,0.993493292029407
20,0.024619898164725016,0.01377635080620592,0.9673333333333334,0.994215151810001
