epoch,train_loss,dev_loss,dev_exact_match,dev_token_accuracy
1,1.6223209218473624,1.1089912950992584,0.0,0.7685058274800366
2,0.7286656547066391,0.6402639515222387,0.0,0.8734885620343492
3,0.5118107169669196,0.5139213245599827,0.0,0.9005404411140857
4,0.39485469752589597,0.4087109573661013,0.0,0.9216339287954869
5,0.3065252902689359,0.30008085864655515,0.0,0.9423834066977153
6,0.22868961330675922,0.24858336943261167,0.0,0.9583408255021154
7,0.16585909836734367,0.17963714533029718,0.0,0.9715002351773159
8,0.12335168219461347,0.12523495782404503,0.0,0.9807129187461892
9,0.09377088318054644,0.11262336912307333,0.0003333333333333333,0.9842719729972633
10,0.07400779846981662,0.08515675640367765,0.0,0.9877799164868102
11,0.05893905594673575,0.07957290924411822,0.0,0.9892351889578692
12,0.04859545180352022,0.06721579951253977,0.0,0.9907385216641681
13,0.03933251810303291,0.07292423173388903,0.0,0.9907347864364893
14,0.03437195522402296,0.06047038824366842,0.0,0.9918675171902341
15,0.02844493104428645,0.06853420245758396,0.0,0.991404908589712
16,0.02614284729498704,0.06125835847218541,0.0,0.9923268421131398
17,0.019969502816575006,0.051941129522635895,0.0,0.9929726206656018
18,0.01801832345598038,0.05110898080400805,0.0,0.9929461019804818
19,0.01635342567221613,0.06616784700816696,0.0,0.9926212788134694
20,0.013764356503059582,0.05876003968915803,0.024666666666666667,0.9931168014762299
