epoch,train_loss,dev_loss,dev_exact_match,dev_token_accuracy
1,1.951617745216319,1.6535453568113612,0.0,0.6901695711396336
2,1.0128738067008012,0.9630533127074546,0.0,0.7875535928092151
3,0.7604028348891151,0.7253988632496368,0.0,0.8409722018223219
4,0.5998142145327385,0.6044738390978347,0.0,0.8740635469743717
5,0.500677230421281,0.5218601743591592,0.0,0.890504866786707
6,0.4332867210274501,0.46400941781541133,0.0,0.9024374096586711
7,0.39113658881740065,0.407339889318385,0.0,0.9124933571830209
8,0.34925646470082516,0.38358690827450853,0.0,0.9203247572271742
9,0.3122037181593724,0.3475777272214281,0.0,0.9286719001844282
10,0.27961136987864577,0.30612882908354416,0.0,0.9361530752366254
11,0.2516870057938115,0.2917752115333334,0.0,0.941205975162205
12,0.2226674364250622,0.2699201722094353,0.0,0.9479938932610638
13,0.19764573955970094,0.22568971354593623,0.0,0.9556625429934212
14,0.17589673563739322,0.22352172965382008,0.0,0.9589759052387591
15,0.15659854019319774,0.1917388952792959,0.0,0.9651493732346879
16,0.1401112005657313,0.16659312929086229,0.0,0.9688890964309697
17,0.1230846452101177,0.1664001417366114,0.0,0.9708131787621653
18,0.11145667020749572,0.145882554114499,0.0,0.9750439006752649
19,0.10379798275153368,0.143061129098877,0.0,0.9767594727396062
20,0.09385092471115636,0.12213760180438453,0.10633333333333334,0.9787475925388082
21,0.08440575108721557,0.1216543485866265,0.005333333333333333,0.9807071260494534
22,0.07784941696271991,0.12206841313696289,0.0016666666666666668,0.9813696721637948
23,0.0701811170489188,0.11792414663161369,0.0,0.9830432528740701
24,0.06715629979079922,0.11119919676492189,0.0,0.9835469173159352
25,0.06028656645227742,0.10498620522149066,0.542,0.9842303099267066
26,0.05572284558750936,0.11397534741603947,0.6306666666666667,0.9838099673340227
27,0.05069178512801003,0.0960199769705217,0.29,0.9860310430179217
28,0.04877169421127695,0.09335139548366374,0.5346666666666666,0.9856824407335468
29,0.044522101424683797,0.10846498433223113,0.268,0.985506235892694
30,0.04240617152204774,0.09507065889564284,0.11633333333333333,0.9864651688704915
