epoch,train_loss,dev_loss,dev_exact_match,dev_token_accuracy
1,1.9847604014226143,2.21308227549208,0.0,0.5795792522604191
2,1.1727180941215414,1.1431131768733898,0.0,0.7601010317261424
3,0.8623298428705986,0.8443555527545036,0.0,0.8197199730161107
4,0.6982419325815921,0.6830913703492347,0.0,0.8498359322458829
5,0.5990039845176091,0.58618260032319,0.0,0.8715189784275266
6,0.5267333391486414,0.5465565872319201,0.0,0.8839129386356886
7,0.47412034324462843,0.4702366095908145,0.0,0.8962325115914732
8,0.4299704104464575,0.4322556266759304,0.0,0.9048180301109161
9,0.39284724924738046,0.4123305852742905,0.0,0.9103852634366505
10,0.3601391221908544,0.3765622507384483,0.0,0.9200380378582481
11,0.32832651487644143,0.3349558763364528,0.0006666666666666666,0.9270156243286383
12,0.30097440502896217,0.34437858281617467,0.0006666666666666666,0.9305662644613597
13,0.27881623403915506,0.30582208265649513,0.011333333333333334,0.9353757286590669
14,0.25676183542668424,0.2764177285927407,0.04033333333333333,0.9421197349880304
15,0.23648839361028165,0.2681412584287055,0.0036666666666666666,0.945981506924504
16,0.21486326308045167,0.24156617357375773,0.0,0.9512577708842208
17,0.19702064546922973,0.2247441387239923,0.001,0.9551192955507666
18,0.18097806102195324,0.19646572963671483,0.023666666666666666,0.9604895728172931
19,0.1653551674441786,0.19894671796801242,0.0016666666666666668,0.961958586101775
20,0.1527646515641781,0.18542777770694266,0.007,0.9658410260636922
